CO_MAIN,CO_AUX,NO2_MAIN,NO2_AUX,GAS_TEMP,MICS_CO,MICS_NO2,MICS_HN3
169,317,232,211,259,1338,1242,1718
171,318,230,208,259,1337,1243,1717
172,321,232,209,259,1339,1243,1718
170,318,235,211,259,1338,1242,1718
170,318,232,209,259,1339,1243,1718
175,321,239,207,259,1338,1244,1718
169,317,231,204,259,1339,1243,1718
167,315,232,206,259,1338,1243,1718
172,318,231,207,259,1338,1243,1716
168,318,235,208,259,1339,1243,1717
175,319,234,208,259,1337,1244,1716
169,314,236,208,259,1339,1243,1719
171,314,234,205,259,1338,1243,1718
176,320,238,206,264,1339,1244,1719
172,318,236,209,259,1339,1243,1718
176,320,230,209,259,1338,1245,1716
170,316,233,204,259,1338,1244,1718
169,318,234,205,259,1339,1243,1718
175,319,234,205,259,1337,1245,1717
171,318,233,206,259,1340,1244,1717
169,318,235,208,259,1339,1243,1718
172,317,233,208,259,1339,1243,1718
172,318,236,206,259,1338,1242,1717
169,318,236,203,259,1338,1245,1717
176,321,235,209,259,1337,1245,1716
172,321,233,205,259,1339,1245,1719
174,318,235,205,259,1338,1245,1719
174,322,235,205,259,1339,1243,1719
176,321,236,207,259,1338,1247,1716
176,322,231,208,259,1338,1247,1717
170,318,230,204,259,1336,1244,1718
173,322,235,206,259,1338,1245,1716
171,318,232,205,259,1339,1245,1718
172,320,233,207,259,1337,1245,1718
175,321,230,207,259,1336,1247,1715
174,321,233,210,259,1337,1247,1717
172,319,235,208,259,1338,1245,1717
170,318,232,212,259,1336,1246,1717
172,318,235,210,259,1339,1245,1718
172,320,232,206,259,1336,1246,1717
170,317,232,205,259,1339,1245,1719
172,320,232,208,259,1337,1246,1719
173,320,234,210,259,1339,1247,1719
176,322,233,210,259,1336,1248,1716
172,320,233,207,259,1338,1246,1718
176,320,231,210,259,1336,1248,1716
172,320,233,204,259,1338,1246,1719
172,319,236,210,259,1339,1246,1717
174,318,239,210,259,1337,1247,1716
169,318,233,209,259,1337,1247,1718
168,318,235,210,259,1337,1246,1718
176,322,233,209,259,1336,1247,1716
173,322,232,208,259,1337,1247,1717
171,318,235,208,259,1336,1247,1717
175,320,239,209,259,1337,1247,1718
177,321,234,206,264,1337,1249,1716
176,322,230,213,259,1335,1248,1716
175,320,232,206,259,1338,1247,1716
179,323,231,212,259,1335,1248,1716
177,322,232,207,259,1337,1251,1716
176,321,239,214,259,1337,1249,1717
174,320,239,210,264,1339,1247,1717
172,323,231,210,264,1337,1249,1716
171,318,233,206,259,1338,1246,1717
172,322,234,206,259,1337,1247,1716
173,322,233,209,259,1337,1247,1718
173,321,233,212,259,1338,1247,1719
179,325,234,212,259,1337,1249,1716
174,322,237,214,259,1338,1247,1718
175,323,236,212,259,1338,1247,1719
176,321,235,204,259,1338,1248,1719
178,323,230,208,259,1337,1250,1716
176,322,237,210,259,1339,1247,1718
173,321,235,210,259,1339,1247,1719
172,318,234,206,259,1337,1248,1719
172,318,234,207,259,1336,1250,1718
169,318,234,214,259,1339,1249,1718
172,318,234,214,259,1338,1251,1718
169,318,235,213,259,1338,1250,1718
173,320,236,210,259,1337,1249,1718
171,320,235,206,259,1337,1249,1717
177,323,231,210,259,1336,1252,1716
173,322,235,208,260,1339,1252,1718
172,320,230,206,259,1339,1251,1717
178,322,232,210,259,1338,1252,1715
172,321,237,210,259,1339,1252,1719
168,322,237,210,259,1339,1252,1718
171,322,234,209,259,1339,1252,1719
171,320,236,208,259,1338,1252,1718
178,323,235,206,264,1338,1254,1717
177,324,239,209,259,1337,1252,1717
173,321,232,205,259,1337,1253,1719
172,322,235,209,259,1337,1252,1718
171,322,235,213,259,1337,1252,1718
177,324,233,214,259,1334,1254,1717
175,323,235,212,259,1334,1254,1716
172,320,235,208,259,1335,1252,1718
172,320,234,209,259,1336,1252,1718
172,319,232,207,259,1335,1252,1718
172,322,232,206,259,1335,1252,1718
173,318,233,210,259,1333,1254,1716
170,321,235,210,259,1335,1252,1718
172,321,235,209,259,1335,1253,1719
172,322,234,210,259,1334,1252,1719
174,320,237,212,259,1334,1252,1718
175,322,236,210,259,1334,1252,1718
171,322,235,210,259,1334,1252,1719
176,322,235,210,259,1333,1252,1718
173,322,235,210,259,1333,1253,1718
177,323,232,212,259,1331,1255,1716
173,321,236,212,259,1332,1253,1718
176,325,235,209,259,1332,1254,1718
171,322,233,208,259,1331,1253,1718
172,318,234,207,259,1330,1255,1718
175,324,235,212,259,1328,1255,1719
174,324,235,210,259,1330,1254,1718
172,322,236,210,259,1330,1255,1719
172,320,235,208,259,1330,1252,1718
176,320,235,210,259,1328,1255,1716
170,320,236,206,259,1330,1253,1717
174,324,235,209,259,1330,1253,1718
172,322,236,205,259,1331,1253,1718
172,321,236,203,259,1330,1252,1718
175,322,239,209,259,1331,1254,1716
172,322,235,208,259,1331,1252,1718
176,324,239,208,259,1330,1255,1717
176,320,241,210,259,1330,1256,1717
175,319,235,209,259,1330,1252,1717
172,320,235,205,259,1333,1255,1717
176,322,234,207,259,1331,1255,1717
177,323,233,205,259,1331,1254,1717
172,322,238,203,259,1332,1255,1717
174,322,232,208,259,1331,1255,1718
175,322,233,206,264,1330,1254,1716
172,322,233,204,259,1330,1252,1719
172,322,233,205,259,1330,1253,1718
172,325,231,202,259,1330,1256,1717
177,325,236,201,259,1330,1255,1719
172,322,232,202,259,1330,1253,1717
169,320,231,198,259,1330,1252,1718
172,322,234,206,259,1330,1252,1717
169,323,233,201,259,1330,1253,1718
170,320,234,202,259,1327,1252,1718
169,319,232,203,259,1329,1253,1717
172,322,232,201,259,1327,1252,1718
169,321,235,203,259,1329,1252,1718
168,318,234,199,259,1327,1252,1717
173,321,234,204,259,1326,1253,1716
170,321,234,204,259,1326,1252,1719
170,322,235,201,259,1328,1253,1718
171,323,234,202,259,1329,1253,1718
167,319,233,200,259,1329,1252,1718
174,325,233,203,259,1327,1252,1718
172,324,232,202,259,1326,1252,1717
173,321,232,202,259,1326,1253,1717
173,323,235,209,259,1326,1252,1718
176,325,234,205,259,1323,1254,1716
177,326,235,205,259,1324,1254,1716
174,324,235,204,259,1324,1252,1720
173,324,238,207,260,1326,1253,1718
174,322,235,202,259,1326,1252,1718
177,326,231,203,259,1322,1253,1716
178,328,233,204,259,1321,1252,1716
172,325,235,204,259,1326,1252,1719
175,326,233,203,259,1324,1252,1717
176,327,230,201,259,1323,1252,1719
177,326,233,206,264,1323,1252,1716
179,329,232,206,264,1322,1253,1716
174,326,234,204,259,1326,1254,1717
176,329,233,204,259,1323,1252,1718
180,331,233,205,259,1321,1253,1716
172,329,235,202,259,1322,1251,1719
176,330,236,207,259,1319,1252,1716
172,330,234,202,259,1320,1254,1718
175,334,234,205,259,1317,1252,1718
177,335,239,205,259,1318,1253,1717
173,334,232,203,259,1317,1252,1718
176,334,230,203,259,1314,1255,1716
172,338,233,202,260,1316,1253,1718
172,336,234,201,260,1314,1253,1717
176,339,235,202,259,1313,1256,1717
173,339,231,204,259,1311,1255,1718
176,340,231,201,259,1308,1256,1716
172,341,230,201,259,1306,1257,1717
172,343,234,201,259,1304,1257,1717
172,343,233,203,259,1301,1260,1716
173,349,235,204,259,1297,1260,1717
176,350,233,210,259,1293,1264,1716
175,354,231,208,259,1290,1263,1717
179,357,238,205,259,1289,1268,1717
174,356,235,205,259,1286,1268,1717
177,360,234,205,259,1283,1269,1720
178,361,235,209,259,1281,1272,1716
175,364,234,207,259,1281,1276,1717
178,367,235,205,259,1273,1280,1717
181,371,232,205,259,1268,1282,1716
176,370,235,207,259,1268,1286,1717
179,376,233,211,259,1260,1288,1718
180,381,230,209,259,1254,1293,1717
175,383,233,207,259,1251,1299,1718
181,388,230,209,259,1245,1303,1716
181,392,234,214,264,1239,1310,1716
181,392,232,209,259,1234,1317,1718
178,398,232,205,259,1225,1323,1716
177,404,233,210,259,1222,1329,1719
177,409,235,212,259,1220,1333,1718
