"","date","site","nox","no2","o3","so2","co","pm10_raw","pm10","nv10","code"
"8819",2017-01-02 10:00:00,"Westminster - Marylebone Road",41.0856,19.7081,12.412625,1.125,0,19.4728625,13.8555932226867,NA,"MY1"
"8820",2017-01-02 11:00:00,"Westminster - Marylebone Road",41.866025,21.293325,13.38275,0.95,0,20.3237775,17.3863679278491,NA,"MY1"
"8821",2017-01-02 12:00:00,"Westminster - Marylebone Road",51.81015,23.6673,11.865375,0.925,0.02475,21.5019675,19.5913191589128,NA,"MY1"
"8822",2017-01-02 13:00:00,"Westminster - Marylebone Road",42.04225,20.6396,13.258375,1.025,0.07425,20.7819625,19.9480885864475,NA,"MY1"
"8823",2017-01-02 14:00:00,"Westminster - Marylebone Road",62.98785,29.0102,10.024625,1.15,0.07425,22.451065,19.039845013091,NA,"MY1"
"8824",2017-01-02 15:00:00,"Westminster - Marylebone Road",51.60875,23.94375,11.865375,1.2,0.07425,20.02923,17.3790644482119,NA,"MY1"
"8825",2017-01-02 16:00:00,"Westminster - Marylebone Road",87.55865,37.0826,3.33325,1.4,0.12375,23.8583475,21.1339224764561,NA,"MY1"
"8826",2017-01-02 17:00:00,"Westminster - Marylebone Road",97.32655,37.3941,1.04475,1.75,0.17325,26.771095,23.2143049228652,NA,"MY1"
"8827",2017-01-02 18:00:00,"Westminster - Marylebone Road",119.304325,38.975225,0.74625,2.125,0.2475,32.5638625,29.4274310643105,NA,"MY1"
"8828",2017-01-02 19:00:00,"Westminster - Marylebone Road",118.57425,41.5398,0.597,2.325,0.22275,29.58566,28.1256146730872,NA,"MY1"
"8829",2017-01-02 20:00:00,"Westminster - Marylebone Road",120.663775,37.995725,0.422875,2.325,0.27225,33.1529575,32.040280186064,NA,"MY1"
"8830",2017-01-02 21:00:00,"Westminster - Marylebone Road",153.089175,40.467475,0.323375,2.65,0.32175,37.898445,35.9931212752166,NA,"MY1"
"8831",2017-01-02 22:00:00,"Westminster - Marylebone Road",216.832275,47.522475,0.2985,3.25,0.42075,42.3821125,39.6138687653982,NA,"MY1"
"8832",2017-01-02 23:00:00,"Westminster - Marylebone Road",202.281125,49.469725,0.422875,3.85,0.37125,39.92755,38.144052274605,NA,"MY1"
"8833",2017-01-03 00:00:00,"Westminster - Marylebone Road",185.4894,44.5488,0.431166666666667,3.86666666666667,0.396,42.1202925,39.5896317309449,NA,"MY1"
"8834",2017-01-03 01:00:00,"Westminster - Marylebone Road",142.826166666667,41.3878333333333,0.265333333333333,3.66666666666667,0.231,31.94204,30.7399809027634,NA,"MY1"
"8835",2017-01-03 02:00:00,"Westminster - Marylebone Road",130.431675,39.539575,0.273625,3.25,0.297,28.27656,27.5544545707891,NA,"MY1"
"8836",2017-01-03 03:00:00,"Westminster - Marylebone Road",112.43155,36.22705,0.24875,2.875,0.297,24.61108,25.9574119572598,NA,"MY1"
"8837",2017-01-03 04:00:00,"Westminster - Marylebone Road",116.686125,33.917475,0.2985,2.7,0.22275,21.403785,22.6745702450986,NA,"MY1"
"8838",2017-01-03 05:00:00,"Westminster - Marylebone Road",171.19,40.0579,0.373125,2.825,0.2475,25.65836,24.9191806157443,NA,"MY1"
"8839",2017-01-03 06:00:00,"Westminster - Marylebone Road",261.82,50.58515,0.44775,3.7,0.396,30.0111175,28.9841774008808,NA,"MY1"
"8840",2017-01-03 07:00:00,"Westminster - Marylebone Road",364.4333,56.7482,0.572125,4.75,0.56925,32.1056775,29.479681097232,NA,"MY1"
"8841",2017-01-03 08:00:00,"Westminster - Marylebone Road",374.327075,70.791725,0.621875,6.175,0.51975,34.363875,30.3834938625999,NA,"MY1"
"8842",2017-01-03 09:00:00,"Westminster - Marylebone Road",423.69525,62.28975,0.721375,7.3,0.47025,37.1457125,32.8835051263621,NA,"MY1"
"8843",2017-01-03 10:00:00,"Westminster - Marylebone Road",379.89075,73.7398,0.870625,7.5,0.37125,40.516645,35.9641026166542,NA,"MY1"
"8844",2017-01-03 11:00:00,"Westminster - Marylebone Road",236.3429,55.8665,1.04475,6.25,0.297,41.62938,37.3777988207442,NA,"MY1"
"8845",2017-01-03 12:00:00,"Westminster - Marylebone Road",217.134375,51.270125,1.34325,5.35,0.22275,50.8258075,45.9160955700736,NA,"MY1"
"8846",2017-01-03 13:00:00,"Westminster - Marylebone Road",187.95655,49.73215,1.666625,4.55,0.2475,54.45856,48.0679774016389,NA,"MY1"
"8847",2017-01-03 14:00:00,"Westminster - Marylebone Road",153.3661,43.93845,2.23875,4.025,0.1485,39.53482,35.0432978995611,NA,"MY1"
"8848",2017-01-03 15:00:00,"Westminster - Marylebone Road",128.367325,49.346025,4.154125,3.35,0.12375,33.840235,31.5968514410108,NA,"MY1"
"8849",2017-01-03 16:00:00,"Westminster - Marylebone Road",192.865675,57.382625,2.213875,3.425,0.27225,44.2803075,38.4094060430211,NA,"MY1"
"8850",2017-01-03 17:00:00,"Westminster - Marylebone Road",287.04535,71.86195,0.820875,4.15,0.56925,43.6257575,38.4507670289061,NA,"MY1"
"8851",2017-01-03 18:00:00,"Westminster - Marylebone Road",262.600425,63.714225,0.920375,4.75,0.594,36.065705,32.8442578134296,NA,"MY1"
"8852",2017-01-03 19:00:00,"Westminster - Marylebone Road",224.686875,54.823775,0.721375,4.775,0.4455,31.81113,28.4772153822174,NA,"MY1"
"8853",2017-01-03 20:00:00,"Westminster - Marylebone Road",192.8405,52.8053,0.621875,4.475,0.37125,29.8802075,27.8207387929787,NA,"MY1"
"8854",2017-01-03 21:00:00,"Westminster - Marylebone Road",144.001,49.26095,1.2935,4.05,0.22275,28.27656,25.9061863438154,NA,"MY1"
"8855",2017-01-03 22:00:00,"Westminster - Marylebone Road",125.01905,44.23725,1.865625,3.275,0.22275,30.6002125,29.8621055763582,NA,"MY1"
"8856",2017-01-03 23:00:00,"Westminster - Marylebone Road",154.700375,50.755425,1.2935,3.275,0.198,24.3819875,24.0959129916358,NA,"MY1"
"8857",2017-01-04 00:00:00,"Westminster - Marylebone Road",117.986833333333,43.9452333333333,2.189,3.03333333333333,0.099,15.8728375,16.4349025407065,NA,"MY1"
"8858",2017-01-04 01:00:00,"Westminster - Marylebone Road",69.6844,34.3067333333333,4.31166666666667,2.63333333333333,0.033,13.4510025,13.2007079582706,NA,"MY1"
"8859",2017-01-04 02:00:00,"Westminster - Marylebone Road",68.22425,32.2346,5.149125,2.275,0.099,14.6946475,13.8172770225441,NA,"MY1"
"8860",2017-01-04 03:00:00,"Westminster - Marylebone Road",76.28025,34.48095,4.004875,2.125,0.099,14.3019175,13.7318821554728,NA,"MY1"
"8861",2017-01-04 04:00:00,"Westminster - Marylebone Road",68.450825,34.875575,3.98,1.9,0,12.109175,11.2480602375297,NA,"MY1"
"8862",2017-01-04 05:00:00,"Westminster - Marylebone Road",83.001975,33.355875,4.054625,1.95,0.0495,11.323715,11.6446204628958,NA,"MY1"
"8863",2017-01-04 06:00:00,"Westminster - Marylebone Road",137.20375,42.4637,1.84075,2.3,0.198,16.88739,14.8773807274857,NA,"MY1"
"8864",2017-01-04 07:00:00,"Westminster - Marylebone Road",174.211,48.8131,1.268625,2.725,0.2475,15.97102,14.0793701489801,NA,"MY1"
"8865",2017-01-04 08:00:00,"Westminster - Marylebone Road",139.72125,49.43275,1.99,2.9,0.17325,17.3783025,13.4718092689201,NA,"MY1"
"8866",2017-01-04 09:00:00,"Westminster - Marylebone Road",123.332325,38.601975,2.6865,2.825,0.07425,18.1637625,14.8012308067506,NA,"MY1"
"8867",2017-01-04 10:00:00,"Westminster - Marylebone Road",84.109675,33.482725,4.502375,2.425,0,19.6365,15.8258197795018,NA,"MY1"
"8868",2017-01-04 11:00:00,"Westminster - Marylebone Road",55.2843,28.44925,9.8505,1.05,-0.07425,13.941915,12.7284695248388,NA,"MY1"
"8869",2017-01-04 12:00:00,"Westminster - Marylebone Road",79.527825,32.321275,11.964875,0.85,0.07425,22.058335,21.7954721089939,NA,"MY1"
"8870",2017-01-04 13:00:00,"Westminster - Marylebone Road",56.417175,27.268325,13.333,0.9,0.02475,42.54575,37.558570704377,NA,"MY1"
"8871",2017-01-04 14:00:00,"Westminster - Marylebone Road",67.997675,32.435575,11.517125,1.025,0.07425,41.7275625,35.9256372464587,NA,"MY1"
"8872",2017-01-04 15:00:00,"Westminster - Marylebone Road",81.290075,38.937475,10.969875,1.1,0.07425,51.8730875,42.7799505554536,NA,"MY1"
"8873",2017-01-04 16:00:00,"Westminster - Marylebone Road",112.406375,40.678575,6.169,1.5,0.12375,44.2803075,35.7050030390115,NA,"MY1"
"8874",2017-01-04 17:00:00,"Westminster - Marylebone Road",91.712525,39.928675,4.72625,1.7,0.198,39.273,32.0296191131048,NA,"MY1"
"8875",2017-01-04 18:00:00,"Westminster - Marylebone Road",88.439775,36.328975,5.596875,1.875,0.198,32.6293175,26.3633745732569,NA,"MY1"
"8876",2017-01-04 19:00:00,"Westminster - Marylebone Road",74.1152,37.1447,5.994875,1.825,0.099,29.84748,25.5117829685398,NA,"MY1"
"8877",2017-01-04 20:00:00,"Westminster - Marylebone Road",75.2229,38.6045,3.98,1.775,0.17325,32.1056775,27.1708671517566,NA,"MY1"
"8878",2017-01-04 21:00:00,"Westminster - Marylebone Road",70.64105,36.28615,3.6815,1.75,0.099,33.6765975,28.5716615381783,NA,"MY1"
"8879",2017-01-04 22:00:00,"Westminster - Marylebone Road",86.75305,39.57165,1.019875,1.8,0.099,35.934795,30.0191302094028,NA,"MY1"
"8880",2017-01-04 23:00:00,"Westminster - Marylebone Road",67.997675,36.560175,2.53725,1.775,0.12375,27.2620075,22.144526921911,NA,"MY1"
"8881",2017-01-05 00:00:00,"Westminster - Marylebone Road",42.1261666666667,25.0241666666667,8.22533333333333,1.56666666666667,0,22.843795,20.7163602474373,NA,"MY1"
"8882",2017-01-05 01:00:00,"Westminster - Marylebone Road",34.9429,22.3679,9.18716666666667,1.26666666666667,0,25.3638125,20.6967185474778,NA,"MY1"
"8883",2017-01-05 02:00:00,"Westminster - Marylebone Road",34.6408,22.4179,11.09425,1.125,0.0495,23.367435,19.6320255122882,NA,"MY1"
"8884",2017-01-05 03:00:00,"Westminster - Marylebone Road",30.235175,21.457825,10.19875,1.075,0,22.058335,18.0145842163385,NA,"MY1"
"8885",2017-01-05 04:00:00,"Westminster - Marylebone Road",37.81285,23.4019,9.80075,0.925,0,21.1092375,18.1990168280074,NA,"MY1"
"8886",2017-01-05 05:00:00,"Westminster - Marylebone Road",45.944375,26.000425,8.358,1,0.02475,21.33833,17.7608799336658,NA,"MY1"
"8887",2017-01-05 06:00:00,"Westminster - Marylebone Road",80.3586,32.95085,4.601875,1.325,0.099,21.8946975,18.6521404814806,NA,"MY1"
"8888",2017-01-05 07:00:00,"Westminster - Marylebone Road",97.83005,37.1431,3.855625,1.55,0.12375,22.189245,17.8045789724322,NA,"MY1"
"8889",2017-01-05 08:00:00,"Westminster - Marylebone Road",136.020525,43.896075,1.865625,2.025,0.12375,25.2983575,20.0521803749148,NA,"MY1"
"8890",2017-01-05 09:00:00,"Westminster - Marylebone Road",143.7996,44.53255,3.059625,2.225,0.198,28.342015,24.0475429913282,NA,"MY1"
"8891",2017-01-05 10:00:00,"Westminster - Marylebone Road",153.643025,54.199925,2.6865,2.775,0.099,31.3856725,27.1900043447689,NA,"MY1"
